entangle	2	1	0.334912	0.041681963132271016
tensor	2	1	0.009868000000000002	0.0013927475578869276
entangle	2	2	0.5015480000000001	0.05761332475183149
tensor	2	2	0.5126160000000001	0.06044180868769563
entangle	4	1	0.148844	0.023049538924672663
tensor	4	1	0.01194	0.0017460481093028335
entangle	4	4	0.132392	0.01658422091507467
tensor	4	4	0.148604	0.01874385616248695
entangle	6	1	0.043359999999999996	0.006613484406876605
tensor	6	1	0.013468	0.0021228965495284973
entangle	6	6	0.05473999999999999	0.0061783165992040255
tensor	6	6	0.05626400000000001	0.009072711118513582
entangle	8	1	0.032748	0.004867888757973009
tensor	8	1	0.017908	0.002833089366751427
entangle	8	8	0.030923999999999997	0.004228186164302608
tensor	8	8	0.022675999999999998	0.003299894277094343
entangle	10	1	0.024239999999999994	0.00346349187959204
tensor	10	1	0.0143	0.0023645946798553025
